clipfrac,total_timesteps,time_elapsed,fps,policy_loss,eplenmean,policy_entropy,approxkl,nupdates,value_loss,explained_variance,serial_timesteps,eprewmean
0.20915222,917504,691.5391607284546,1439,0.021396926,1232.46,0.8102916,0.011309916,56,979.6412,0.9774520862847567,114688,-23374.644897050002
0.19189453,933888,703.1644675731659,1409,0.009876776,1266.09,0.97052646,0.004612003,57,1267.7509,0.9766155388206244,116736,-23131.107865089998
0.20861816,950272,714.2334587574005,1480,0.016281776,1313.19,0.78806585,0.0072742137,58,1156.0942,0.9752331655472517,118784,-23234.049512110003
0.18139648,966656,725.3684844970703,1471,0.009177202,1390.31,0.76879895,0.004623341,59,1216.3462,0.9765881020575762,120832,-23377.499693099995
0.1625824,983040,736.5601487159729,1464,0.008183626,1477.59,0.6977403,0.003881501,60,1277.0637,0.9773021228611469,122880,-23668.49220241999
0.4119873,999424,748.9352374076843,1324,0.05514688,1475.19,1.1250584,0.0965697,61,1755.77,0.9735735245049,124928,-23180.574993970004
0.12182617,1015808,759.8049306869507,1507,0.011942603,1493.93,0.55729383,0.023487192,62,896.4255,0.9817757736891508,126976,-22871.997168799997
0.09979248,1032192,770.5748710632324,1521,0.013589995,1522.85,0.5402874,0.0064839274,63,833.6547,0.9816755000501871,129024,-22575.88795718
0.16966248,1048576,781.3727149963379,1517,0.017530676,1547.11,0.57747334,0.008455658,64,958.35046,0.9818636439740658,131072,-22370.958260380008
0.16145325,1064960,791.8962981700897,1556,0.03444745,1642.56,0.21388698,0.035470244,65,1012.6393,0.9822183568030596,133120,-22602.763599869995
0.078186035,1081344,802.4754180908203,1548,0.005656919,1657.8,0.35923034,0.0031554417,66,945.91754,0.9818548317998648,135168,-22676.485818489993
0.11643982,1097728,812.7723486423492,1591,0.025579613,1658.14,0.20785166,0.021208411,67,814.0391,0.9861971540376544,137216,-22707.098495150003
0.14596558,1114112,823.8068962097168,1484,0.008647476,1805.0,0.5493685,0.0042496235,68,1407.0996,0.9796628095209599,139264,-23112.831764030005
0.075027466,1130496,834.4287979602814,1542,0.008507168,1809.09,0.2992183,0.0037936997,69,714.09485,0.9861117545515299,141312,-23255.121189440008
0.1529541,1146880,845.0590162277222,1541,0.017746221,1920.9,0.41082108,0.00794479,70,951.47705,0.9828981198370457,143360,-23428.78625403
0.092819214,1163264,854.992157459259,1649,0.043944985,2017.86,0.28658196,0.11383067,71,640.65845,0.9841624740511179,145408,-23615.326920369993
0.09968567,1179648,865.5005004405975,1559,0.012823014,2119.26,0.37870607,0.0058812075,72,964.7028,0.9808224327862263,147456,-23868.078865760002
0.035751343,1196032,874.8042070865631,1761,0.009644821,2095.03,0.12526816,0.003907734,73,131.27843,0.9901991812512279,149504,-23916.598037590004
0.10531616,1212416,885.0695495605469,1596,0.016675927,2151.18,0.32535568,0.0059111724,74,873.59,0.9820232894271612,151552,-23971.534444680005
0.18548584,1228800,895.5323488712311,1566,0.09989131,2161.77,0.36481607,0.19795647,75,833.1554,0.9832613412290812,153600,-24092.00340272
0.124694824,1245184,906.360803604126,1513,0.013126483,2276.59,0.42169756,0.0066829813,76,1222.0828,0.9815993830561638,155648,-24174.479001779993
